Feature,Importance
BMI,0.1517208586618113
GenHlth,0.14154854063782593
Age,0.1278638735522962
HighBP,0.10653901636289885
Income,0.07031584163855313
HighChol,0.06878351226761906
PhysHlth,0.05588038523714196
MentHlth,0.04915367673298689
Education,0.04095063326327893
DiffWalk,0.03024563047228102
Sex,0.021956725192482762
HeartDiseaseorAttack,0.021493751156226672
PhysActivity,0.01988611145674991
Smoker,0.019723352428560353
Fruits,0.018932161455179314
Veggies,0.01652744179468343
NoDocbcCost,0.010196693411161783
HvyAlcoholConsump,0.008969613592557974
Stroke,0.00718519767899843
CholCheck,0.006672207064810731
AnyHealthcare,0.005454775941895476
