Group,Macro-F1,N,Model,Attribute
0.0,0.4296763588917189,28442,Logistic Regression,Sex
1.0,0.42772971202785737,22294,Logistic Regression,Sex
1.0,0.4141454618312963,1110,Logistic Regression,Age
2.0,0.46009014911722157,1531,Logistic Regression,Age
3.0,0.3785466719228261,2242,Logistic Regression,Age
4.0,0.4171416318131534,2687,Logistic Regression,Age
5.0,0.4355175354180955,3198,Logistic Regression,Age
6.0,0.4555296819714836,4071,Logistic Regression,Age
7.0,0.43758636932950745,5297,Logistic Regression,Age
8.0,0.430425714217769,6230,Logistic Regression,Age
9.0,0.42943530655064993,6660,Logistic Regression,Age
10.0,0.4130298940547268,6481,Logistic Regression,Age
11.0,0.3727898504128757,4697,Logistic Regression,Age
12.0,0.3183907056894088,3086,Logistic Regression,Age
13.0,0.28309604637399205,3446,Logistic Regression,Age
1.0,0.3884012345517623,1982,Logistic Regression,Income
2.0,0.3572688179473938,2287,Logistic Regression,Income
3.0,0.3709572192277406,3170,Logistic Regression,Income
4.0,0.3866827674138129,3925,Logistic Regression,Income
5.0,0.38540014569540254,5183,Logistic Regression,Income
6.0,0.41850081621043556,7356,Logistic Regression,Income
7.0,0.4201799214260276,8653,Logistic Regression,Income
8.0,0.4368948586681294,18180,Logistic Regression,Income
0.0,0.4345834676022864,28442,Random Forest,Sex
1.0,0.4264318988360268,22294,Random Forest,Sex
1.0,0.4305532356175443,1110,Random Forest,Age
2.0,0.446963259753604,1531,Random Forest,Age
3.0,0.38558076437660843,2242,Random Forest,Age
4.0,0.4210353984329211,2687,Random Forest,Age
5.0,0.44008897714175216,3198,Random Forest,Age
6.0,0.4697471272915441,4071,Random Forest,Age
7.0,0.4313175940079905,5297,Random Forest,Age
8.0,0.42529504071967383,6230,Random Forest,Age
9.0,0.42309073078383985,6660,Random Forest,Age
10.0,0.41690322000370356,6481,Random Forest,Age
11.0,0.38974250229287755,4697,Random Forest,Age
12.0,0.34690492709766607,3086,Random Forest,Age
13.0,0.325091153716574,3446,Random Forest,Age
1.0,0.4039001595912164,1982,Random Forest,Income
2.0,0.38214482603383165,2287,Random Forest,Income
3.0,0.3894563852957021,3170,Random Forest,Income
4.0,0.40009043606632955,3925,Random Forest,Income
5.0,0.4010201267116022,5183,Random Forest,Income
6.0,0.4179286956850406,7356,Random Forest,Income
7.0,0.42510656072259817,8653,Random Forest,Income
8.0,0.43398662733273,18180,Random Forest,Income
0.0,0.42046415597179526,28442,XGBoost,Sex
1.0,0.42163003164085305,22294,XGBoost,Sex
1.0,0.43497582621365655,1110,XGBoost,Age
2.0,0.4531988479356901,1531,XGBoost,Age
3.0,0.38734537493158183,2242,XGBoost,Age
4.0,0.4108394931776942,2687,XGBoost,Age
5.0,0.4182710528930575,3198,XGBoost,Age
6.0,0.44375897044702534,4071,XGBoost,Age
7.0,0.4339017110604449,5297,XGBoost,Age
8.0,0.41837635531154155,6230,XGBoost,Age
9.0,0.40815802130792633,6660,XGBoost,Age
10.0,0.3935512327155218,6481,XGBoost,Age
11.0,0.36604656848401945,4697,XGBoost,Age
12.0,0.31971430753595353,3086,XGBoost,Age
13.0,0.301121274932861,3446,XGBoost,Age
1.0,0.39894655615290014,1982,XGBoost,Income
2.0,0.3749923477196204,2287,XGBoost,Income
3.0,0.3812105071008995,3170,XGBoost,Income
4.0,0.38557924035540453,3925,XGBoost,Income
5.0,0.37805534859422135,5183,XGBoost,Income
6.0,0.404959604496746,7356,XGBoost,Income
7.0,0.41529843293902496,8653,XGBoost,Income
8.0,0.4213419407037735,18180,XGBoost,Income
0.0,0.44933799213917663,28442,Neural Network (MLP),Sex
1.0,0.44562752762649244,22294,Neural Network (MLP),Sex
1.0,0.3299969669396421,1110,Neural Network (MLP),Age
2.0,0.4305881880434564,1531,Neural Network (MLP),Age
3.0,0.3876283168982737,2242,Neural Network (MLP),Age
4.0,0.4127506117782103,2687,Neural Network (MLP),Age
5.0,0.42048529525243844,3198,Neural Network (MLP),Age
6.0,0.44195404956751094,4071,Neural Network (MLP),Age
7.0,0.43709992864064035,5297,Neural Network (MLP),Age
8.0,0.4517139833258124,6230,Neural Network (MLP),Age
9.0,0.4530681897816701,6660,Neural Network (MLP),Age
10.0,0.45453490951870495,6481,Neural Network (MLP),Age
11.0,0.42673021546196765,4697,Neural Network (MLP),Age
12.0,0.41750620154641727,3086,Neural Network (MLP),Age
13.0,0.41055079631428654,3446,Neural Network (MLP),Age
1.0,0.4592853095121178,1982,Neural Network (MLP),Income
2.0,0.4502075948551421,2287,Neural Network (MLP),Income
3.0,0.443641300500526,3170,Neural Network (MLP),Income
4.0,0.44628857018687523,3925,Neural Network (MLP),Income
5.0,0.43686275301406546,5183,Neural Network (MLP),Income
6.0,0.4394665514778991,7356,Neural Network (MLP),Income
7.0,0.4306717212099372,8653,Neural Network (MLP),Income
8.0,0.4145317890764955,18180,Neural Network (MLP),Income
