Model,Attribute,Macro-F1 Gap
Logistic Regression,Sex,0.0019466468638615342
Logistic Regression,Age,0.17699410274322952
Logistic Regression,Income,0.07962604072073559
Random Forest,Sex,0.007861326182927675
Random Forest,Age,0.1442214033968861
Random Forest,Income,0.0514723735500745
XGBoost,Sex,0.0007459169465784954
XGBoost,Age,0.13500359945465684
XGBoost,Income,0.04936091398870396
Neural Network (MLP),Sex,0.0031726713906028436
Neural Network (MLP),Age,0.06954327957697065
Neural Network (MLP),Income,0.06781758378206004
