Feature,Importance
BMI,0.15187631915641273
GenHlth,0.14165778701680126
Age,0.12782930123487654
HighBP,0.1064447378869296
Income,0.0702648712795763
HighChol,0.06876056902986849
PhysHlth,0.05584000867086032
MentHlth,0.049229213011058655
Education,0.04093821758422294
DiffWalk,0.030240452641036128
Sex,0.022039255767175716
HeartDiseaseorAttack,0.021422019076288865
PhysActivity,0.01986785568859235
Smoker,0.01971472553718606
Fruits,0.0189052419260811
Veggies,0.016530660653984463
NoDocbcCost,0.010217378109309805
HvyAlcoholConsump,0.008943499086619717
Stroke,0.007159902967189706
CholCheck,0.00665955846059614
AnyHealthcare,0.005458425215333253
