Feature,MeanAbsSHAP
GenHlth,0.06082409755728602
HighBP,0.05204423727576327
HighChol,0.04216256604591185
BMI,0.04174999611628812
Age,0.037435424673003155
Income,0.01978444409274869
DiffWalk,0.012666792146907094
HeartDiseaseorAttack,0.009985443096048496
PhysHlth,0.008550698397542016
Education,0.007263827969172306
Sex,0.0070002981053005455
MentHlth,0.006154852349124199
PhysActivity,0.005385195427994729
CholCheck,0.0034193471458678413
HvyAlcoholConsump,0.0026881716630025197
Fruits,0.0026599632108193706
Smoker,0.0025108199916824606
Veggies,0.0020011016972385576
Stroke,0.0018700256452303863
NoDocbcCost,0.0016916323909221425
AnyHealthcare,0.0007698455392967661
