Feature,MeanAbsSHAP
HighBP,0.07345887889756571
HighChol,0.05169206772160844
GenHlth,0.04104414216784052
Age,0.019192450095304268
BMI,0.015340648101703172
DiffWalk,0.013968268025448781
Sex,0.007377791375054818
PhysActivity,0.0065387044108670845
HeartDiseaseorAttack,0.006096188594352965
Income,0.004951431081635679
HvyAlcoholConsump,0.004869461643436771
Smoker,0.0031225058193519784
Education,0.0030789573425158245
Fruits,0.002664999870560496
Veggies,0.0021821121367578645
MentHlth,0.0011957819626744392
NoDocbcCost,0.0011564902346787034
PhysHlth,0.0009203340142889681
CholCheck,0.0008772377054821317
Stroke,0.0002832432741267025
AnyHealthcare,0.00027293732880395445
